StichtagDatJahr,DatenstandCd,HalterId,AlterV10Cd,AlterV10Lang,AlterV10Sort,SexCd,SexLang,SexSort,KreisCd,KreisLang,KreisSort,QuarCd,QuarLang,QuarSort,Rasse1Text,Rasse2Text,RasseMischlingCd,RasseMischlingLang,RasseMischlingSort,RassentypCd,RassentypLang,RassentypSort,GebDatHundJahr,AlterVHundCd,AlterVHundLang,AlterVHundSort,SexHundCd,SexHundLang,SexHundSort,HundefarbeText,AnzHunde
2023,P,574,70,70- bis 79-Jährige,8,2,weiblich,2,2,Kreis 2,2,23,Leimbach,23,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,I,Rassentypenliste I,2,2013,9,9-Jährige,9,2,weiblich,2,schwarz,1
2023,P,695,50,50- bis 59-Jährige,6,1,männlich,1,6,Kreis 6,6,63,Oberstrass,63,Labrador Retriever,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2012,10,10-Jährige,10,2,weiblich,2,braun,1
2023,P,893,70,70- bis 79-Jährige,8,2,weiblich,2,7,Kreis 7,7,71,Fluntern,71,Mittelschnauzer,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2010,12,12-Jährige,12,2,weiblich,2,schwarz,1
2023,P,1177,60,60- bis 69-Jährige,7,1,männlich,1,10,Kreis 10,10,102,Wipkingen,102,Shih Tzu,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2011,11,11-Jährige,11,1,männlich,1,schwarz/weiss,1
2023,P,4054,50,50- bis 59-Jährige,6,2,weiblich,2,11,Kreis 11,11,111,Affoltern,111,Lagotto Romagnolo,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2016,6,6-Jährige,6,2,weiblich,2,weiss/beige,1
2023,P,4135,50,50- bis 59-Jährige,6,2,weiblich,2,9,Kreis 9,9,91,Albisrieden,91,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,K,Kleinwüchsig,1,2016,6,6-Jährige,6,2,weiblich,2,schwarz,1
2023,P,4164,50,50- bis 59-Jährige,6,2,weiblich,2,9,Kreis 9,9,92,Altstetten,92,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,I,Rassentypenliste I,2,2021,1,1-Jährige,1,2,weiblich,2,schwarz/weiss,1
2023,P,4206,70,70- bis 79-Jährige,8,2,weiblich,2,8,Kreis 8,8,82,Mühlebach,82,Havaneser,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2016,6,6-Jährige,6,2,weiblich,2,hellbraun/weiss,1
2023,P,4215,50,50- bis 59-Jährige,6,2,weiblich,2,8,Kreis 8,8,81,Seefeld,81,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,I,Rassentypenliste I,2,2019,3,3-Jährige,3,1,männlich,1,schwarz,1
2023,P,4281,60,60- bis 69-Jährige,7,2,weiblich,2,9,Kreis 9,9,91,Albisrieden,91,Chihuahua,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2011,11,11-Jährige,11,2,weiblich,2,hellbraun,1
2023,P,4281,60,60- bis 69-Jährige,7,2,weiblich,2,9,Kreis 9,9,91,Albisrieden,91,Chihuahua,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2014,8,8-Jährige,8,1,männlich,1,schwarz/weiss,1
